short_period,long_period,total_return,sharpe_ratio,max_drawdown,total_trades
5,30,44.34035521128269,1.7423651760696903,-0.31377699039528545,105
5,40,62.01033453630251,1.6525744173864636,-0.2839644225427548,79
5,50,50.28609873711536,1.6181452653978914,-0.27091930429675465,69
5,60,54.23925140163549,1.7043298503755,-0.2484588835967167,65
5,70,49.704060675939864,1.510383444230676,-0.20623511843780404,53
5,80,53.555724421980244,1.486720667229914,-0.1986743204772778,47
5,90,64.05027072395765,1.570597027517722,-0.22681402254794666,51
5,100,85.41145567628496,1.2096156888143281,-0.21968687114610125,41
10,30,36.05349486718714,1.7135475550478447,-0.22871283378636242,95
10,40,53.75556100045714,1.776122785690131,-0.2876880363446317,65
10,50,36.05673769156148,1.5275187744560412,-0.3694574630797659,59
10,60,34.707248244699606,1.4560833971724638,-0.2505703087256475,51
10,70,44.44010723360649,1.4119475592929849,-0.2920058315442797,43
10,80,43.488365235704656,1.4435268142319093,-0.24567467225436018,41
10,90,54.06157853379773,1.1134986028042069,-0.3174447074417505,35
10,100,55.36200871336343,1.1497873494534567,-0.2461424985012127,35
15,30,49.59157515308647,1.7822207916877195,-0.21328984398235432,85
15,40,44.829380376862986,1.6817568052989258,-0.2533203362088569,59
15,50,36.49536100969908,1.4695579754787276,-0.3364200267231405,51
15,60,36.453950112760175,1.4786986348649902,-0.24716575627007698,45
15,70,45.27494623363891,1.4403971741793928,-0.24521977122957553,39
15,80,69.2346366184549,1.2041345720320165,-0.276687225182956,35
15,90,56.63827576441865,1.1077720678662077,-0.3320649171266271,33
15,100,56.350679387115164,1.1611743675280368,-0.2151080509252027,29
20,30,41.020162948178424,1.5987596137976157,-0.3296955345721895,83
20,40,39.621628813115336,1.6120984572084898,-0.2678740084848924,63
20,50,40.4735314955803,1.5388720489141992,-0.34315622848310917,49
20,60,35.35121037277318,1.4277072078575914,-0.23917107780713492,43
20,70,40.16948809420796,1.39336248875253,-0.30497316424185966,35
20,80,62.71049617815141,1.171525886186151,-0.2515145370884624,31
20,90,61.06188678696625,1.0478259830924888,-0.3010138641119597,31
20,100,54.889329935276166,1.0268352661392057,-0.28326039226804334,25
25,30,36.94614255583329,1.5944900470412031,-0.26932500395259734,105
25,40,33.89750795261898,1.4963743533901062,-0.3239426072070358,63
25,50,36.314872316357736,1.4193928162486074,-0.3176965477605004,51
25,60,30.9050883509629,1.3660276363383346,-0.242451194994479,47
25,70,34.902095649464506,1.4017700794106278,-0.26796381612241105,35
25,80,46.72268689476774,1.12704823185241,-0.35048469872257004,29
25,90,53.606164716595394,1.0121227306099,-0.3020597119535899,27
25,100,50.9481992728086,1.0350482893545265,-0.2729039259406266,23
30,40,47.41127605987867,1.6645628133769537,-0.20528928245286004,71
30,50,30.88855633270143,1.3620058952263192,-0.2987842187242512,55
30,60,23.115268515158245,1.2671892271999374,-0.3683381505752836,49
30,70,36.93054452708,1.4591756407594099,-0.32179429923257324,35
30,80,46.19745238781944,1.1882296563768002,-0.2680348463848248,29
30,90,42.84781744400854,0.9717866184387719,-0.3394669329916322,27
30,100,62.8755263089409,1.0685243218092917,-0.2798892610112662,23
