datetime,price,size,type,commission,pnl,pnlcomm,signal
2014-12-17,331.56,151.2035622107703,buy,189.50947266124683,-5511.369842582571,-5700.879315243818,1
2015-03-12,295.11,151.2035622107703,sell,189.50947266124683,-5511.369842582571,-5700.879315243818,-1
2015-04-15,216.42,217.42652917240142,buy,202.28059715025194,7029.3996881437415,6827.119090993489,1
2015-06-17,248.75,217.42652917240142,sell,202.28059715025194,7029.3996881437415,6827.119090993489,-1
2015-08-19,245.99999999999997,205.1308760035816,buy,205.3319042620651,1741.5611372704152,1536.22923300835,1
2015-10-16,254.49,205.1308760035816,sell,205.3319042620651,1741.5611372704152,1536.22923300835,-1
2016-01-16,360.0,137.3978193656378,buy,218.36085840503353,10253.999259257544,10035.63840085251,1
2016-02-21,434.63,137.3978193656378,sell,218.36085840503353,10253.999259257544,10035.63840085251,-1
2016-08-03,540.03,109.2014846085631,buy,257.3507707176163,10731.229892483498,10473.879121765882,1
2016-10-12,638.3,109.2014846085631,sell,257.3507707176163,10731.229892483498,10473.879121765882,-1
2017-07-16,1970.51,31.191451518350757,buy,350.3155588058099,52231.645140054265,51881.32958124846,1
2017-08-12,3645.06,31.191451518350757,sell,350.3155588058099,52231.645140054265,51881.32958124846,-1
2017-09-15,3227.79,27.06246507610978,buy,469.41415297486833,60003.16819140136,59533.754038426494,1
2017-10-13,5445.0,27.06246507610978,sell,469.41415297486833,60003.16819140136,59533.754038426494,-1
2018-02-06,6874.27,17.02863231194579,buy,520.0118592260444,25887.097126943103,25367.08526771706,1
2018-07-25,8394.48,17.02863231194579,sell,520.0118592260444,25887.097126943103,25367.08526771706,-1
2018-11-15,5592.23,23.18079497785617,buy,439.60755019855776,-39460.89909875432,-39900.506648952876,1
2019-02-20,3889.92,23.18079497785617,sell,439.60755019855776,-39460.89909875432,-39900.506648952876,-1
2019-09-25,8536.71,12.862776767575957,buy,461.0862991655176,10931.559463692101,10470.473164526584,1
2020-01-29,9386.57,12.862776767575957,sell,461.0862991655176,10931.559463692101,10470.473164526584,-1
2020-03-13,4841.67,23.758743775024858,buy,647.7327308390009,93802.37147305116,93154.63874221216,1
2020-04-30,8789.79,23.758743775024858,sell,647.7327308390009,93802.37147305116,93154.63874221216,-1
2021-05-19,42900.85,3.766903525557921,buy,624.7458466883644,-10833.80288468086,-11458.548731369223,1
2021-07-29,40024.8,3.766903525557921,sell,624.7458466883644,-10833.80288468086,-11458.548731369223,-1
2022-03-01,43185.48,3.3048475015640513,buy,311.8423036909324,-13199.726163621875,-13511.568467312807,1
